"Dubow,Sara L.",Associate Professor of History,History Department,"1991, B.A., Williams College","1996, M.A., University of Massachusetts, Amherst","2003, Ph.D., Rutgers University"
"Dudley,William C.",Professor of Philosophy,Philosophy Department,"1989, B.A., Williams College","1995, M.A., Northwestern University","1998, Ph.D., Northwestern University"
"Dunn,Susan",John B. McCoy and John T. McCoy Professor of Humanities,Humanities Department,"1966, B.A., Smith College",,"1973, Ph.D., Harvard University"
"Edwards,David B.",James N. Lambert '39 Professor of Anthropology,Anthropology and Sociology,"1975, B.A., Princeton University","1979, M.A., University of Michigan","1986, Ph.D., University of Michigan"
"Edwards,Frances C.",Senior Lecturer in Art,Art Department,"1975, B.A., Princeton University","1981, M.A., University of Michigan","1990, Ph.D., New York University Institute of Fine Arts"
"Edwards,Joan",Chair and Washington Gladden 1859 Professor of Biology,Biology Department,"1971, B.A., University of Michigan","1972, M.S., University of Michigan","1978, Ph.D., University of Michigan"
"Engel,Alex C.",Assistant Professor of Biology,Biology Department,"2001, B.A., Pomona College",,"2007, Ph.D., University of California, Berkeley"
"Engel,Susan L.",Senior Lecturer in Psychology,Psychology Department,"1980, B.A., Sarah Lawrence College",,"1985, Ph.D., City University of New York"
"Ephraim,Laura D.",Assistant Professor of Political Science,Political Science Department,"2000, B.A., Pomona College",,"2010, Ph.D., Northwestern University"
"Eppel,David",Professor of Theatre,Theatre Department,"1971, B.A., University of CapeTown","1986, M.F.A., Columbia University",
"Epping,Edward A.",Alexander Falck Class of 1899 Professor of Art,Art Department,"1970, B.A., Western Illinois University","1973, M.F.A., University of Wisconsin, Madison",
"Eqeiq,Amal",Visiting Assistant Professor of Arabic,Comparative Literature Program,"1997, B.A., Hebrew University-Jerusalem","2006, M.A., University of Oregon","2013, Ph.D., University of Washington"
"Falk,Adam F.",Professor of Physics,Physics Department,"1987, B.S., University of North Carolina, Chapel Hill","1989, M.A., Harvard University","1991, Ph.D., Harvard University"
"Farwell,Peter K.",Assistant Professor of Physical Education and Head Cross Country Coach,Athletics Department,"1973, B.A., Williams College","1990, M.A., Central Michigan University",
"Fein,Steven",Professor of Psychology,Psychology Department,"1986, A.B., Princeton University",,"1991, Ph.D., University of Michigan"
"Feldman,Ronald L.","Artist in Residence in Orchestral and Instrumental Activities/Lecturer in Music, Director of the Berkshire Symphony",Music Department,"1971, B.M., Boston University",,
"Filipczak,Zirka Z.",J. Kirk T. Varnedoe '67 Professor of Art,Art Department,"1964, B.A., Barnard College","1965, M.A., Harvard University","1973, Ph.D., Harvard University"
"Fisher,Jessica M.",Assistant Professor of English,English Department,"1998, B.A., Swarthmore College","2003, M.A., University of California, Berkeley","2009, Ph.D., University of California, Berkeley"
"Fix,Stephen E.",Robert G Scott '68 Professor of English,English Department,"1974, B.A., Boston College","1977, M.A., Cornell University","1980, Ph.D., Cornell University"
"Foias,Antonia E.",Professor of Anthropology,Anthropology and Sociology,"1987, B.A., Harvard University",,"1996, Ph.D., Vanderbilt University"
"Ford,VaNatta S.",Visiting Assistant Professor of Africana Studies,Africana Studies,"2000, B.S., Illinois State University","2005, M.Div., Howard University","2011, Ph.D., Howard University"
"Forkey,Kevin R.",Lecturer in Physics,Physics Department,"1981, B.A., Cornell University",,
"Fortunato,Michael",Visiting Professor of Economics,Economics Department,"1976, A.B., Columbia University","1982, M.A., Harvard University","1984, Ph.D., Harvard University"
"Fox,Soledad",Professor of Romance Languages,Romance Languages Department,"1990, B.A., Sarah Lawrence College","1997, M.A., City University of New York","2001, Ph.D., City University of New York"
"French,Jennifer L.",Professor of Spanish,Romance Languages Department,"1995, B.A., College of William and Mary","1997, M.A., Rutgers University","2001, Ph.D., Rutgers University"
"Freund,Stephen N.",Professor of Computer Science,Computer Science Department,"1995, B.S., Stanford University","1998, M.S., Stanford University","2000, Ph.D., Stanford University"
"Friedman,Rachel A.",Mellon Postdoctoral Fellow in Arabic Literature,Comparative Literature Program,"2010, A.B., Georgetown University","2011, M.A., University of California, Berkeley","2015, Ph.D., University of California, Berkeley"
"Garbarini,Alexandra",Associate Professor of History,History Department,"1994, B.A., Williams College","1997, M.A., University of California, Los Angeles","2003, Ph.D., University of California, Los Angeles"
"Gardner,Sarah S.",Lecturer in Environmental Studies,Center for Environmental Studies,"1985, B.A., Smith College","1989, M.P.A., Columbia University","2000, Ph.D., City University of New York"
"Garrity,Thomas A.","William R. Kenan, Jr. Professor of Mathematics",Mathematics and Statistics,"1981, B.S., University of Texas, Austin",,"1986, Ph.D., Brown University"
"Gentry,William M.",Professor of Economics,Economics Department,"1986, B.S., Massachusetts Institute of Technology","1991, M.A., Princeton University","1991, Ph.D., Princeton University"
"Gerrard,Steven B.",Professor of Philosophy,Philosophy Department,"1978, B.A., Amherst College","1982, M.A., University of Chicago","1987, Ph.D., University of Chicago"
"Gholz,Charles E.",Stanley Kaplan Visiting Professor of American Foreign Policy,Leadership Studies Program,"1992, B.S., Massachusetts Institute of Technology",,"2000, Ph.D., Massachusetts Institute of Technology"
"Gibson,Matthew D.",Assistant Professor of Economics,Economics Department,"2005, A.B., Harvard University",,"2015, Ph.D., University of California, San Diego"
"Gilbert,Lisa A.",Associate Professor of Geosciences and Marine Sciences,Geosciences Department,"1997, A.B., Dartmouth College","1999, M.S., University of Washington","2004, Ph.D., University of Washington"
"Gillis,Meghan K.",Assistant Professor of Physical Education and Head Coach of Women's Ice Hockey,Athletics Department,"2007, B.A., Bowdoin College","2009, M.S., University of Massachusetts, Amherst",
"Glier,Michael A.",Professor of Art,Art Department,"1976, B.A., Williams College","1977, M.A., Hunter College, City University of New York",
"Godlonton,Susan",Assistant Professor of Economics,Economics Department,"2003, B.A., University of CapeTown","2007, M.A., University of CapeTown","2013, Ph.D., University of Michigan"
"Goh,Christopher",Associate Professor of Chemistry,Chemistry Department,"1989, B.S., University of Durham",,"1996, Ph.D., Harvard University"
"Goh,Sarah L.",Associate Professor of Chemistry,Chemistry Department,"1996, B.S., University of Michigan","1998, M.S., University of Massachusetts, Amherst","2004, Ph.D., University of California, Berkeley"
"Goldmakher,Leo I.",Assistant Professor of Mathematics,Mathematics and Statistics,"2004, B.A., Princeton University",,"2009, Ph.D., University of Michigan"
"Goldstein,Barry",Visiting Professor of Humanities,Humanities Department,"1973, B.S., Union College","1976, M.S., University of Rochester","1982, Ph.D., University of Rochester"
"Goldstein,Darra J.",Willcox B. and Harriet M. Adsit Professor of Russian,German and Russian Department,"1973, B.A., Vassar College","1976, M.A., Stanford University","1983, Ph.D., Stanford University"
"Gollin,Edward",Professor of Music,Music Department,"1992, B.S., Massachusetts Institute of Technology","1995, M.A., Queens College","2000, Ph.D., Harvard University"
"Gordinier,Glenn S.",Senior Lecturer in Maritime Studies,Williams-Mystic Program,"1969, B.A., West Chester University","1981, M.A., Lehigh University","2001, Ph.D., University of Connecticut"
"Gotlieb,Marc",Director of the Graduate Program in Art History and Class of 1955 Memorial Professor of Art,Graduate Program in Art History,"1980, B.A., University of Toronto","1984, M.A., Johns Hopkins University","1990, Ph.D., Johns Hopkins University"
"Granado,Alma M.",C3 Mellon Postdoctoral Fellow in Latina/o Studies,Latina/o Studies Program,"2006, B.A., University of Texas, San Antonio","2008, M.A., University of California, Berkeley","2014, Ph.D., University of California, Berkeley"
"Greenberg,Daniel R.",Assistant Professor of Physical Education and Head Coach of Men's Tennis,Athletics Department,"2008, B.A., Williams College","2013, M.Ed., Massachusetts College of Liberal Arts",
"Greenstein,Judd S.","Arthur Levitt, Jr. '52 Artist-in-Residence in Music",Music Department,"2001, B.A., Williams College","2004, M.M., Yale University",
"Gurcay-Morris,David E.",Associate Professor of Theatre,Theatre Department,"1996, B.A., Williams College","2001, M.F.A., University of Washington",
"Gutschow,Kim I.",Lecturer in Religion and Anthropology/Sociology,Religion Department,"1988, B.A., Harvard University","1995, M.A., Harvard University","1998, Ph.D., Harvard University"
"Hall,Catherine R.",Lecturer in Maritime Studies,Williams-Mystic Program,"1985, B.A., University of Rhode Island",,"1989, J.D., Vermont Law School"
"Hane,Amie A.",Associate Professor of Psychology,Psychology Department,"1996, B.A., University of Maryland","1999, M.A., University of Maryland","2002, Ph.D., University of Maryland"
"Harrington,Nicole T.",Visiting Assistant Professor of Psychology,Psychology Department,"1987, B.A., Boston College",,"1995, Ph.D., University of Vermont"
"Haut,Kristen M.",Visiting Assistant Professor of Psychology,Psychology Department,"2002, B.A., Washington University","2007, M.A., University of Minnesota","2010, Ph.D., University of Minnesota"
"Haxthausen,Charles W.",Robert Sterling Clark Professor of Art History,Art Department,"1966, B.A., University of Saint Thomas, Housto","1969, M.A., Columbia University","1976, Ph.D., Columbia University"
"He,Man",Assistant Professor of Chinese,Asian Studies Department,"2000, B.A., Renmin University","2009, M.A., Ohio State University","2015, Ph.D., Ohio State University"
"Heatherington,Laurie",Edward Dorr Griffin Professor of Psychology,Psychology Department,"1976, B.A., Miami University",,"1981, Ph.D., University of Connecticut"
"Hedreen,Guy M.",Professor of Art,Art Department,"1981, B.A., Pomona College","1983, M.A., Bryn Mawr College","1988, Ph.D., Bryn Mawr College"
"Heeringa,Brent A.",Chair and Associate Professor of Computer Science,Computer Science Department,"1999, B.A., University of Minnesota","2002, M.S., University of Massachusetts, Amherst","2006, Ph.D., University of Massachusetts, Amherst"
"Heggeseth,Brianna C.",Assistant Professor of Statistics,Mathematics and Statistics,"2008, B.A., Saint Olaf College",,"2013, Ph.D., University of California, Berkeley"
"Heller,Peter S.",Visiting Professor of Economics,Economics Department,"1967, B.A., Trinity College",,"1972, Ph.D., Harvard University"
"Herman,Kristin M.","Assistant Professor of Physical Education, Head Softball Coach",Athletics Department,"1986, B.A., Tufts University","1989, M.A., Tufts University",
"Heuer,Christopher P.",Lecturer in the Graduate Program in Art History,Graduate Program in Art History,"1994, A.B., Bowdoin College","1997, A.M., University of Southern California","2003, Ph.D., University of California, Berkeley"
"Hidalgo,Jacqueline",Assistant Professor of Latina/o Studies and Religion,Religion Department,"2000, B.A., Columbia University","2003, M.A., Union Theological Seminary","2010, Ph.D., Claremont Graduate University"
"Hillman,Joshua D.",Lecturer in Physical Education and Head Men's Golf Coach,Athletics Department,"2000, B.A., University of Rhode Island",,
"Hirsch,Alan",Lecturer in Humanities,Humanities Department,"1981, B.A., Amherst College",,"1985, J.D., Yale University"
"Hirsch,Marjorie W.",Chair and Professor of Music,Music Department,"1982, B.A., Yale University","1985, M.Phil., Yale University","1989, Ph.D., Yale University"
"Hoey,Nathan D.","Assistant Professor of Physical Education, Head Women's Track & Field Coach",Athletics Department,"2000, B.S., Slippery Rock University",,
"Holzapfel,Amy S.",Chair and Associate Professor of Theatre,Theatre Department,"1996, B.A., Brown University","2001, M.F.A., Yale School of Drama","2006, D.F.A., Yale School of Drama"
"Honderich,Kiaran","Lecturer in Women's, Gender and Sexuality Studies","Women, Gender & Sexuality Studies","1983, B.A., Oxford University","1984, M.A., Columbia University","1991, Ph.D., University of Massachusetts, Amherst"
"Honecker,Scott D.",Assistant Professor of Physical Education and Head Coach of Wrestling,Athletics Department,"2010, B.S., East Carolina University",,
"Hoppin,Meredith C.",Frank M Gagliardi Professor of Classics,Classics Department,"1972, B.A., Carleton College","1973, M.A., University of Michigan","1976, Ph.D., University of Michigan"
"Howe,Catherine N.",Visiting Assistant Professor of Art,Art Department,"1997, B.A., Barnard College","2005, M.A., University of California, Santa Barbara","2012, Ph.D., University of California, Santa Barbara"
"Howe,Nicolas C.",Assistant Professor of Environmental Studies and Faculty Affiliate in Anthropology and Sociology,Center for Environmental Studies,"1998, B.A., Columbia University","2003, M.A., University of California, Los Angeles","2009, Ph.D., University of California, Los Angeles"
"Huang,Vivian L.","Gaius Charles Bolin Fellow in Women's, Gender, and Sexuality Studies and Comparative Literature","Women, Gender & Sexuality Studies","2008, B.A., University of California, Berkeley","2009, M.A., New York University",
"Huguet,Joan C.",Visiting Assistant Professor of Music,Music Department,"2008, B.A., Rhodes College","2010, M.A., McGill University","2015, Ph.D., University of Rochester"
"Israel,Jeffrey I.",Assistant Professor of Religion,Religion Department,"1999, B.A., Oberlin College","2001, M.A., University of Chicago","2011, Ph.D., University of Chicago"
"Jackall,G. Robert",Willmott Family Third Century Professor Sociology & Public Affairs,Anthropology and Sociology,"1963, B.A., Fordham University","1964, Ph.L, Woodstock College, Saint Ignatius","1976, Ph.D., New School for Social Research"
"Jackson,Charles F.",Visiting Assistant Professor of Art,Art Department,"1984, B.F.A., Virginia Commonwealth University","1990, M.F.A., University of California, Davis",
"Jacobson,Sarah A.",Assistant Professor of Economics,Economics Department,"1998, B.S., Harvey Mudd College","2005, M.A., Georgia State University","2010, Ph.D., Georgia State University"
"Jaffe,Andrew W.",Lyell B. Clay Artist in Residence in Jazz and Senior Lecturer in Music,Music Department,"1973, B.A., Saint Lawrence University","1977, M.M., University of Massachusetts, Amherst",
"James,Joy A.",Francis Christopher Oakley Third Century Professor of Humanities,Humanities Department,"1980, B.A., Saint Mary's University","1982, M.A., Fordham University","1987, Ph.D., Fordham University"
"Jang,Ju-Yu Scarlett",Professor of Art,Art Department,"1969, B.A., National Cheng-Chih University","1984, M.A., University of California, Berkeley","1989, Ph.D., University of California, Berkeley"
"Johnson III,Eugene J.",Amos Lawrence Professor of Art,Art Department,"1959, B.A., Williams College","1963, M.A., New York University Institute of Fine Arts","1970, Ph.D., New York University Institute of Fine Arts"
"Johnson,Cathy M.",Professor of Political Science,Political Science Department,"1979, B.A., Dartmouth College",,"1986, Ph.D., University of Michigan"
"Johnson,Markes E.","Charles L. MacMillan Professor of Natural Science, Emeritus",Geosciences Department,"1971, B.A., University of Iowa",,"1977, Ph.D., University of Chicago"
