Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
46,Friday May 27,boxscore,BAL,@,CLE,W,6,4,,27-19,2,1.0,Bundy,McAllister,Britton,3:09,N,21054,+
47,Saturday May 28,boxscore,BAL,@,CLE,L,4,11,,27-20,2,1.0,Salazar,Jimenez,,3:02,D,21110,-
48,Sunday May 29,boxscore,BAL,@,CLE,W,6,4,,28-20,2,1.0,Tillman,Manship,Britton,3:14,D,18565,+
49,Monday May 30,boxscore,BAL,,BOS,L,2,7,,28-21,2,2.0,Wright,Wilson,,2:54,D,43926,-
50,Tuesday May 31,boxscore,BAL,,BOS,L,2,6,,28-22,2,3.0,Rodriguez,Gausman,,2:48,N,17664,--
51,Wednesday Jun 1,boxscore,BAL,,BOS,W,13,9,,29-22,2,2.0,Brach,Buchholz,Britton,3:58,N,20750,+
52,Thursday Jun 2,boxscore,BAL,,BOS,W,12,7,,30-22,2,1.0,Givens,Ross,,2:57,N,21534,++
53,Friday Jun 3,boxscore,BAL,,NYY,W,6,5,,31-22,1,Tied,Givens,Betances,Britton,3:00,N,25220,+++
54,Saturday Jun 4,boxscore,BAL,,NYY,L,6,8,,31-23,2,1.0,Nova,Wilson,Chapman,3:25,N,33170,-
55,Sunday Jun 5,boxscore,BAL,,NYY,W,3,1,,32-23,1,Tied,McFarland,Betances,Britton,3:26,D,28807,+
56,Monday Jun 6,boxscore,BAL,,KCR,W,4,1,,33-23,1,up 0.5,Wright,Duffy,Britton,2:37,N,14878,++
57,Tuesday Jun 7,boxscore,BAL,,KCR,W,9,1,,34-23,1,up 0.5,Jimenez,Ventura,,2:44,N,28110,+++
58,Wednesday Jun 8,boxscore,BAL,,KCR,W,4,0,,35-23,1,up 1.5,Tillman,Volquez,Brach,2:47,N,19178,++++
59,Thursday Jun 9,boxscore,BAL,@,TOR,W,6,5,,36-23,1,up 2.0,Bundy,Osuna,Britton,3:12,N,41448,+++++
60,Friday Jun 10,boxscore,BAL,@,TOR,L-wo,3,4,10,36-24,1,up 1.0,Storen,Brach,,2:54,N,44439,-
61,Saturday Jun 11,boxscore,BAL,@,TOR,L,6,11,,36-25,1,Tied,Happ,McFarland,,3:05,D,47651,--
62,Sunday Jun 12,boxscore,BAL,@,TOR,L,9,10,,36-26,1,Tied,Sanchez,Jimenez,Grilli,3:11,D,47249,---
63,Tuesday Jun 14,boxscore,BAL,@,BOS,W,3,2,,37-26,1,up 1.0,Tillman,Price,Britton,2:47,N,38009,+
64,Wednesday Jun 15,boxscore,BAL,@,BOS,L,4,6,,37-27,1,Tied,Wright,Gausman,Kimbrel,2:58,N,36233,-
65,Thursday Jun 16,boxscore,BAL,@,BOS,W,5,1,,38-27,1,up 1.0,Wilson,Rodriguez,,2:53,N,36757,+
66,Friday Jun 17,boxscore,BAL,,TOR,L,3,13,,38-28,1,up 1.0,Sanchez,Wright,,2:53,N,38306,-
67,Saturday Jun 18,boxscore,BAL,,TOR,W,4,2,,39-28,1,up 1.0,Gallardo,Dickey,Britton,2:33,D,41901,+
68,Sunday Jun 19,boxscore,BAL,,TOR,W,11,6,,40-28,1,up 1.0,Tillman,Stroman,,3:31,D,39024,++
69,Monday Jun 20,boxscore,BAL,@,TEX,L,3,4,,40-29,1,up 1.0,Tolleson,Gausman,Dyson,3:04,N,35366,-
70,Tuesday Jun 21,boxscore,BAL,,SDP,L,7,10,,40-30,1,up 1.0,Quackenbush,Givens,Rodney,3:44,N,23876,--
71,Wednesday Jun 22,boxscore,BAL,,SDP,W,7,2,,41-30,1,up 2.0,Jimenez,Johnson,,2:43,N,23785,+
72,Friday Jun 24,boxscore,BAL,,TBR,W,6,3,,42-30,1,up 1.5,Tolliver,Moore,Britton,3:07,N,44956,++
73,Saturday Jun 25 (1),boxscore,BAL,,TBR,W,5,0,,43-30,1,up 3.0,Gausman,Andriese,,2:46,D,18229,+++
74,Saturday Jun 25 (2),boxscore,BAL,,TBR,W,8,6,,44-30,1,up 3.0,McFarland,Ramirez,Britton,3:15,N,33040,++++
75,Sunday Jun 26,boxscore,BAL,,TBR,W,12,5,,45-30,1,up 4.0,Wilson,Smyly,,3:03,D,38611,+++++
